Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,V2,Stdout,Stderr
60,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Denmark/pcnf/11_40.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Denmark/pcnf/11_40.cnf,,"121.245_118.134_2.773"
57,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Denmark/pcnf/18_51.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Denmark/pcnf/18_51.cnf,,"121.416_117.689_3.400"
58,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Denmark/pcnf/83_29.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Denmark/pcnf/83_29.cnf,,"121.407_117.983_3.063"
53,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Bulgaria/pcnf/49_95.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Bulgaria/pcnf/49_95.cnf,,"121.503_117.365_3.818"
45,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Bulgaria/pcnf/102_96.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Bulgaria/pcnf/102_96.cnf,,"121.550_117.674_3.509"
52,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Bulgaria/pcnf/68_41.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Bulgaria/pcnf/68_41.cnf,,"121.533_117.675_3.495"
62,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Denmark/pcnf/27_9.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Denmark/pcnf/27_9.cnf,,"121.489_117.798_3.326"
55,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Denmark/pcnf/50_0.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Denmark/pcnf/50_0.cnf,,"121.523_117.869_3.289"
64,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Denmark/pcnf/81_28.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Denmark/pcnf/81_28.cnf,,"121.385_117.758_3.308"
48,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Bulgaria/pcnf/39_1.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Bulgaria/pcnf/39_1.cnf,,"121.575_117.436_3.772"
50,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Bulgaria/pcnf/40_77.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Bulgaria/pcnf/40_77.cnf,,"121.574_117.043_4.211"
54,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Bulgaria/pcnf/83_106.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Bulgaria/pcnf/83_106.cnf,,"121.560_117.117_4.129"
59,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Denmark/pcnf/13_41.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Denmark/pcnf/13_41.cnf,,"121.537_117.657_3.518"
49,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Bulgaria/pcnf/31_36.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Bulgaria/pcnf/31_36.cnf,,"121.583_116.929_4.334"
51,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Bulgaria/pcnf/5_43.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Bulgaria/pcnf/5_43.cnf,,"121.593_117.503_3.728"
47,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Bulgaria/pcnf/112_69.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Bulgaria/pcnf/112_69.cnf,,"121.640_117.162_4.117"
46,:,1669896586.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Bulgaria/pcnf/5_49.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Bulgaria/pcnf/5_49.cnf,,"121.658_117.079_4.216"
84,:,1669896707.000,3.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Estonia/pcnf/31_16.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Estonia/pcnf/31_16.cnf,,"2.993_2.891_0.094"
67,:,1669896707.000,8.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Ireland/pcnf/29_16.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Ireland/pcnf/29_16.cnf,,"8.106_7.941_0.143"
65,:,1669896707.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Ireland/pcnf/45_31.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Ireland/pcnf/45_31.cnf,,"120.497_118.308_1.861"
66,:,1669896707.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Ireland/pcnf/7_47.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Ireland/pcnf/7_47.cnf,,"120.502_118.503_1.644"
68,:,1669896707.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Ireland/pcnf/29_32.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Ireland/pcnf/29_32.cnf,,"120.544_118.450_1.706"
69,:,1669896707.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Ireland/pcnf/39_13.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Ireland/pcnf/39_13.cnf,,"120.748_118.200_2.215"
71,:,1669896707.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Ireland/pcnf/40_10.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Ireland/pcnf/40_10.cnf,,"120.843_118.063_2.448"
72,:,1669896707.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Ireland/pcnf/11_15.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Ireland/pcnf/11_15.cnf,,"120.932_117.726_2.877"
73,:,1669896707.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Ireland/pcnf/37_3.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Ireland/pcnf/37_3.cnf,,"120.930_117.767_2.832"
82,:,1669896707.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Estonia/pcnf/11_18.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Estonia/pcnf/11_18.cnf,,"120.959_117.157_3.475"
78,:,1669896707.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Estonia/pcnf/22_16.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Estonia/pcnf/22_16.cnf,,"120.987_117.199_3.464"
70,:,1669896707.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Ireland/pcnf/31_18.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Ireland/pcnf/31_18.cnf,,"121.150_117.892_2.899"
77,:,1669896707.000,122.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Estonia/pcnf/28_7.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Estonia/pcnf/28_7.cnf,,"121.187_118.377_2.455"
75,:,1669896707.000,122.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Estonia/pcnf/0_9.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Estonia/pcnf/0_9.cnf,,"121.317_118.010_2.954"
83,:,1669896707.000,122.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Estonia/pcnf/11_7.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Estonia/pcnf/11_7.cnf,,"121.255_118.224_2.676"
76,:,1669896707.000,122.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Estonia/pcnf/1_27.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Estonia/pcnf/1_27.cnf,,"121.355_117.927_3.064"
74,:,1669896707.000,122.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Ireland/pcnf/30_37.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Ireland/pcnf/30_37.cnf,,"121.405_117.645_3.404"
81,:,1669896707.000,122.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Estonia/pcnf/3_33.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Estonia/pcnf/3_33.cnf,,"121.380_117.803_3.219"
79,:,1669896707.000,122.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Estonia/pcnf/6_12.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Estonia/pcnf/6_12.cnf,,"121.429_117.622_3.450"
80,:,1669896707.000,122.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Estonia/pcnf/34_21.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Estonia/pcnf/34_21.cnf,,"121.471_117.215_3.895"
85,:,1669896710.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Austria/pcnf/120_56.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Austria/pcnf/120_56.cnf,,"120.594_117.681_2.580"
86,:,1669896715.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Austria/pcnf/31_69.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Austria/pcnf/31_69.cnf,,"120.564_117.539_2.665"
87,:,1669896827.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Austria/pcnf/186_179.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Austria/pcnf/186_179.cnf,,"120.637_117.589_2.682"
88,:,1669896827.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Austria/pcnf/82_144.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Austria/pcnf/82_144.cnf,,"120.668_117.623_2.680"
89,:,1669896828.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Austria/pcnf/106_174.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Austria/pcnf/106_174.cnf,,"120.647_117.710_2.575"
90,:,1669896828.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Austria/pcnf/121_181.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Austria/pcnf/121_181.cnf,,"120.583_118.007_2.208"
91,:,1669896828.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Austria/pcnf/3_156.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Austria/pcnf/3_156.cnf,,"120.717_117.176_3.180"
93,:,1669896828.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Austria/pcnf/157_131.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Austria/pcnf/157_131.cnf,,"120.634_117.737_2.582"
92,:,1669896828.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Austria/pcnf/52_60.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Austria/pcnf/52_60.cnf,,"120.650_117.737_2.587"
94,:,1669896828.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Austria/pcnf/157_43.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Austria/pcnf/157_43.cnf,,"120.687_117.830_2.495"
113,:,1669896829.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Finland/pcnf/87_100.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Finland/pcnf/87_100.cnf,,"120.720_117.740_2.616"
133,:,1669896949.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Georgia/pcnf/2_1.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Georgia/pcnf/2_1.cnf,,"0.016_0.006_0.010"
134,:,1669896949.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Georgia/pcnf/4_1.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Georgia/pcnf/4_1.cnf,,"0.012_0.005_0.007"
135,:,1669896949.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Georgia/pcnf/2_3.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Georgia/pcnf/2_3.cnf,,"0.015_0.008_0.007"
136,:,1669896949.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Georgia/pcnf/3_0.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Georgia/pcnf/3_0.cnf,,"0.015_0.008_0.007"
137,:,1669896949.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Georgia/pcnf/0_1.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Georgia/pcnf/0_1.cnf,,"0.013_0.006_0.007"
114,:,1669896829.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Finland/pcnf/23_83.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Finland/pcnf/23_83.cnf,,"120.918_117.791_2.806"
115,:,1669896829.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Finland/pcnf/217_48.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Finland/pcnf/217_48.cnf,,"120.980_117.864_2.735"
119,:,1669896829.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Finland/pcnf/189_203.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Finland/pcnf/189_203.cnf,,"120.824_117.742_2.718"
121,:,1669896829.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Finland/pcnf/71_98.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Finland/pcnf/71_98.cnf,,"120.828_117.728_2.735"
122,:,1669896829.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Finland/pcnf/26_232.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Finland/pcnf/26_232.cnf,,"120.790_118.039_2.382"
116,:,1669896829.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Finland/pcnf/317_115.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Finland/pcnf/317_115.cnf,,"120.996_117.831_2.845"
117,:,1669896829.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Finland/pcnf/298_117.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Finland/pcnf/298_117.cnf,,"120.998_117.741_2.939"
118,:,1669896829.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Finland/pcnf/53_236.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Finland/pcnf/53_236.cnf,,"120.993_117.725_2.945"
120,:,1669896829.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Finland/pcnf/119_134.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Finland/pcnf/119_134.cnf,,"120.956_117.773_2.876"
123,:,1669896831.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/France/pcnf/922_746.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/France/pcnf/922_746.cnf,,"120.613_117.815_2.434"
124,:,1669896836.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/France/pcnf/256_1400.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/France/pcnf/256_1400.cnf,,"120.590_117.813_2.355"
125,:,1669896948.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/France/pcnf/1113_546.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/France/pcnf/1113_546.cnf,,"120.628_117.747_2.515"
126,:,1669896948.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/France/pcnf/1322_154.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/France/pcnf/1322_154.cnf,,"120.671_117.804_2.499"
127,:,1669896948.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/France/pcnf/47_1230.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/France/pcnf/47_1230.cnf,,"120.628_117.846_2.444"
128,:,1669896949.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/France/pcnf/446_935.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/France/pcnf/446_935.cnf,,"120.582_117.800_2.443"
129,:,1669896949.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/France/pcnf/90_267.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/France/pcnf/90_267.cnf,,"120.583_117.841_2.373"
131,:,1669896949.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/France/pcnf/1023_943.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/France/pcnf/1023_943.cnf,,"120.706_117.863_2.496"
130,:,1669896949.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/France/pcnf/599_1007.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/France/pcnf/599_1007.cnf,,"120.773_117.710_2.660"
132,:,1669896949.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/France/pcnf/44_1357.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/France/pcnf/44_1357.cnf,,"120.675_118.041_2.286"
138,:,1669896949.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Germany/pcnf/103_377.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Germany/pcnf/103_377.cnf,,"120.696_117.771_2.547"
147,:,1669896950.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Germany/pcnf/1892_122.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Germany/pcnf/1892_122.cnf,,"120.638_117.844_2.419"
139,:,1669896949.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Germany/pcnf/1986_1076.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Germany/pcnf/1986_1076.cnf,,"121.021_117.900_2.740"
140,:,1669896950.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Germany/pcnf/1365_911.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Germany/pcnf/1365_911.cnf,,"121.123_117.929_2.820"
141,:,1669896950.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Germany/pcnf/1921_1033.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Germany/pcnf/1921_1033.cnf,,"121.188_117.884_2.930"
143,:,1669896950.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Germany/pcnf/1126_955.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Germany/pcnf/1126_955.cnf,,"121.140_118.129_2.624"
142,:,1669896950.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Germany/pcnf/511_1183.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Germany/pcnf/511_1183.cnf,,"121.206_117.827_2.991"
144,:,1669896950.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Germany/pcnf/1554_383.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Germany/pcnf/1554_383.cnf,,"121.208_117.848_2.976"
145,:,1669896950.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  ganak -q instances/power_transmission_grid/europe/Germany/pcnf/603_99.cnf >> /dev/null')",1,instances/power_transmission_grid/europe/Germany/pcnf/603_99.cnf,,"121.208_117.778_3.053"
